id,density,d_evidence,d_reasoning,d_trust,d_action,d_compet,racqi_choice_pct
01,dense,2.44,0.78,1.33,1.33,1.83,100.0
02,thin,1.57,1.0,2.0,0.0,2.14,100.0
03,dense,2.25,0.38,2.29,2.57,2.43,85.71
04,thin,0.5,0.75,1.62,0.25,1.88,87.5
05,dense,2.78,1.22,1.83,2.0,2.17,83.33
06,thin,0.25,0.5,2.86,0.29,3.14,100.0
07,dense,3.5,2.0,3.12,2.75,3.0,100.0
08,thin,2.78,2.56,2.67,1.67,2.5,100.0
09,dense,2.0,1.29,1.71,1.29,1.71,85.71
10,thin,0.75,0.5,2.43,0.57,2.71,100.0
11,dense,2.12,1.12,2.12,1.62,2.0,87.5
12,thin,0.71,0.0,1.86,0.14,1.43,85.71
13,control,1.78,0.22,1.33,1.0,1.5,83.33
14,control,1.0,0.43,2.0,2.14,2.29,100.0
15,control,0.88,0.38,2.86,3.14,2.57,100.0
16,control,1.25,0.88,1.88,1.62,1.88,100.0
