rater,id,density,arm,reasoning,evidence
R_2Rxa4U8Uvwf2Cqd,02,thin,naked,4,3
R_2Rxa4U8Uvwf2Cqd,02,thin,RacqI,3,3
R_2Rxa4U8Uvwf2Cqd,14,control,RacqI,4,3
R_2Rxa4U8Uvwf2Cqd,14,control,naked,3,3
R_2Rxa4U8Uvwf2Cqd,09,dense,RacqI,4,5
R_2Rxa4U8Uvwf2Cqd,09,dense,naked,3,2
R_2Rxa4U8Uvwf2Cqd,12,thin,naked,4,4
R_2Rxa4U8Uvwf2Cqd,12,thin,RacqI,3,4
R_2SXLnbYC3FRVfd7,10,thin,RacqI,3,2
R_2SXLnbYC3FRVfd7,10,thin,naked,4,3
R_2SXLnbYC3FRVfd7,03,dense,RacqI,4,4
R_2SXLnbYC3FRVfd7,03,dense,naked,4,4
R_2SXLnbYC3FRVfd7,15,control,naked,4,2
R_2SXLnbYC3FRVfd7,15,control,RacqI,4,4
R_2SXLnbYC3FRVfd7,06,thin,RacqI,3,2
R_2SXLnbYC3FRVfd7,06,thin,naked,3,4
R_8QSIcgQU4hukWYr,01,dense,naked,4,2
R_8QSIcgQU4hukWYr,01,dense,RacqI,4,5
R_8QSIcgQU4hukWYr,13,control,RacqI,4,4
R_8QSIcgQU4hukWYr,13,control,naked,4,2
R_8QSIcgQU4hukWYr,05,dense,RacqI,4,4
R_8QSIcgQU4hukWYr,05,dense,naked,2,1
R_8QSIcgQU4hukWYr,08,thin,naked,2,1
R_8QSIcgQU4hukWYr,08,thin,RacqI,3,3
R_2Oef4w8woWeQqtz,02,thin,naked,2,3
R_2Oef4w8woWeQqtz,02,thin,RacqI,3,3
R_2Oef4w8woWeQqtz,14,control,RacqI,2,4
R_2Oef4w8woWeQqtz,14,control,naked,4,4
R_2Oef4w8woWeQqtz,09,dense,RacqI,2,3
R_2Oef4w8woWeQqtz,09,dense,naked,4,4
R_2Oef4w8woWeQqtz,12,thin,naked,4,4
R_2Oef4w8woWeQqtz,12,thin,RacqI,3,3
R_8UzwAbiq6P1qHXX,16,control,naked,2,3
R_8UzwAbiq6P1qHXX,16,control,RacqI,3,4
R_8UzwAbiq6P1qHXX,07,dense,RacqI,4,5
R_8UzwAbiq6P1qHXX,07,dense,naked,3,1
R_8UzwAbiq6P1qHXX,04,thin,RacqI,3,4
R_8UzwAbiq6P1qHXX,04,thin,naked,2,3
R_8UzwAbiq6P1qHXX,11,dense,RacqI,3,5
R_8UzwAbiq6P1qHXX,11,dense,naked,2,1
R_8XdFb4LOG28C10f,01,dense,naked,3,3
R_8XdFb4LOG28C10f,01,dense,RacqI,5,5
R_8XdFb4LOG28C10f,13,control,RacqI,3,3
R_8XdFb4LOG28C10f,13,control,naked,3,1
R_8XdFb4LOG28C10f,05,dense,RacqI,3,5
R_8XdFb4LOG28C10f,05,dense,naked,2,2
R_8XdFb4LOG28C10f,08,thin,naked,1,1
R_8XdFb4LOG28C10f,08,thin,RacqI,4,5
R_2dE3M2XVa4lMOou,10,thin,RacqI,4,3
R_2dE3M2XVa4lMOou,10,thin,naked,3,2
R_2dE3M2XVa4lMOou,03,dense,RacqI,3,5
R_2dE3M2XVa4lMOou,03,dense,naked,3,2
R_2dE3M2XVa4lMOou,15,control,naked,3,3
R_2dE3M2XVa4lMOou,15,control,RacqI,4,4
R_2dE3M2XVa4lMOou,06,thin,RacqI,3,3
R_2dE3M2XVa4lMOou,06,thin,naked,3,2
R_24NH99pv8Go4LxT,16,control,naked,3,3
R_24NH99pv8Go4LxT,16,control,RacqI,4,4
R_24NH99pv8Go4LxT,07,dense,RacqI,4,5
R_24NH99pv8Go4LxT,07,dense,naked,1,1
R_24NH99pv8Go4LxT,04,thin,RacqI,4,4
R_24NH99pv8Go4LxT,04,thin,naked,3,3
R_24NH99pv8Go4LxT,11,dense,RacqI,3,3
R_24NH99pv8Go4LxT,11,dense,naked,3,3
R_2gjuFjQ80RzGuIN,02,thin,naked,3,2
R_2gjuFjQ80RzGuIN,02,thin,RacqI,4,4
R_2gjuFjQ80RzGuIN,14,control,RacqI,3,4
R_2gjuFjQ80RzGuIN,14,control,naked,3,2
R_2gjuFjQ80RzGuIN,09,dense,RacqI,4,4
R_2gjuFjQ80RzGuIN,09,dense,naked,2,2
R_2gjuFjQ80RzGuIN,12,thin,naked,3,2
R_2gjuFjQ80RzGuIN,12,thin,RacqI,4,4
R_8lSmsQZ5VCf35EU,01,dense,naked,4,3
R_8lSmsQZ5VCf35EU,01,dense,RacqI,4,5
R_8lSmsQZ5VCf35EU,13,control,RacqI,4,5
R_8lSmsQZ5VCf35EU,13,control,naked,3,3
R_8lSmsQZ5VCf35EU,05,dense,RacqI,4,5
R_8lSmsQZ5VCf35EU,05,dense,naked,3,2
R_8lSmsQZ5VCf35EU,08,thin,naked,1,1
R_8lSmsQZ5VCf35EU,08,thin,RacqI,4,4
R_2i4NGQmSkyIjGOw,10,thin,RacqI,3,4
R_2i4NGQmSkyIjGOw,10,thin,naked,2,3
R_2i4NGQmSkyIjGOw,03,dense,RacqI,3,5
R_2i4NGQmSkyIjGOw,03,dense,naked,2,2
R_2i4NGQmSkyIjGOw,15,control,naked,3,3
R_2i4NGQmSkyIjGOw,15,control,RacqI,3,3
R_2i4NGQmSkyIjGOw,06,thin,RacqI,3,4
