rater,id,density,arm,trust,action,compet
R_7U94SEt9fZg4rn4,01,dense,naked,2,1,2
R_7U94SEt9fZg4rn4,01,dense,RacqI,1,1,1
R_7U94SEt9fZg4rn4,13,control,RacqI,2,1,2
R_7U94SEt9fZg4rn4,13,control,naked,2,1,1
R_7U94SEt9fZg4rn4,05,dense,RacqI,2,1,2
R_7U94SEt9fZg4rn4,05,dense,naked,2,2,2
R_7U94SEt9fZg4rn4,08,thin,naked,1,1,1
R_7U94SEt9fZg4rn4,08,thin,RacqI,4,3,3
R_27vO35c2PrQJVoq,10,thin,RacqI,4,4,4
R_27vO35c2PrQJVoq,10,thin,naked,4,4,4
R_27vO35c2PrQJVoq,03,dense,RacqI,4,4,5
R_27vO35c2PrQJVoq,03,dense,naked,4,5,5
R_27vO35c2PrQJVoq,15,control,naked,5,4,5
R_27vO35c2PrQJVoq,15,control,RacqI,5,5,5
R_27vO35c2PrQJVoq,06,thin,RacqI,4,3,4
R_27vO35c2PrQJVoq,06,thin,naked,4,3,3
R_8KpjuuQZ00YHZwE,02,thin,naked,2,2,2
R_8KpjuuQZ00YHZwE,02,thin,RacqI,5,3,5
R_8KpjuuQZ00YHZwE,14,control,RacqI,4,5,5
R_8KpjuuQZ00YHZwE,14,control,naked,2,1,1
R_8KpjuuQZ00YHZwE,09,dense,RacqI,5,4,5
R_8KpjuuQZ00YHZwE,09,dense,naked,2,2,2
R_8KpjuuQZ00YHZwE,12,thin,naked,2,3,2
R_8KpjuuQZ00YHZwE,12,thin,RacqI,4,4,5
R_8fOTvqUmYR2sy53,01,dense,naked,2,2,3
R_8fOTvqUmYR2sy53,01,dense,RacqI,4,4,5
R_8fOTvqUmYR2sy53,13,control,RacqI,5,4,5
R_8fOTvqUmYR2sy53,13,control,naked,2,3,2
R_8fOTvqUmYR2sy53,05,dense,RacqI,4,4,5
R_8fOTvqUmYR2sy53,05,dense,naked,2,2,2
R_8fOTvqUmYR2sy53,08,thin,naked,1,1,1
R_8fOTvqUmYR2sy53,08,thin,RacqI,4,3,4
R_2PLlqyZgYoYS0XT,10,thin,RacqI,5,3,5
R_2PLlqyZgYoYS0XT,10,thin,naked,2,3,2
R_2PLlqyZgYoYS0XT,03,dense,RacqI,5,5,5
R_2PLlqyZgYoYS0XT,03,dense,naked,2,2,2
R_2PLlqyZgYoYS0XT,15,control,naked,2,1,1
R_2PLlqyZgYoYS0XT,15,control,RacqI,5,5,5
